Category,Feature,Importance
bc4a:ULPN:None:None,DYNC1I1,0.0351
bc4a:ULPN:None:None,FLRT2,0.0195
bc4a:ULPN:None:None,TTR,0.0145
bc4a:ULPN:None:None,MDGA2,0.0099
bc4a:ULPN:None:None,SNCA,0.006
bc4a:ULPN:None:None,NLGN1,0.0057
bc4a:ULPN:None:None,GRM8,0.0057
bc4a:ULPN:None:None,DMD,0.0046
bc4a:ULPN:None:None,GM16599,0.0038
bc4a:ULPN:None:None,LINGO2,0.0034
bc4a:ULPN:None:None,CACNA1E,0.0033
bc4a:IN MGE:None:None,FOS,0.2094
bc4a:IN MGE:None:None,CDKN1C,0.1548
bc4a:IN MGE:None:None,SYN2,0.1121
bc4a:IN MGE:None:None,NR2F1,0.0863
bc4a:IN MGE:None:None,PCDH7,0.0737
bc4a:IN MGE:None:None,TTR,0.0484
bc4a:IN MGE:None:None,HCN1,0.0378
bc4a:IN MGE:None:None,GRID1,0.0334
bc4a:IN MGE:None:None,NRG3,0.0302
bc4a:IN MGE:None:None,CSMD1,0.0273
bc4a:IN MGE:None:None,TOX,0.0271
bc4a:IN MGE:None:None,RALYL,0.0264
bc4a:IN MGE:None:None,NRG3OS,0.0257
bc4a:IN MGE:None:None,CNTNAP3,0.0231
bc4a:IN MGE:None:None,MDGA2,0.0131
bc4a:IN MGE:None:None,DGKI,0.0115
bc4a:IN MGE:None:None,FABP7,0.0102
bc4a:IN MGE:None:None,PRICKLE2,0.0099
bc4a:IN MGE:None:None,EDA,0.0089
bc4a:IN MGE:None:None,ALK,0.0087
bc4a:IN MGE:None:None,RYR2,0.0064
bc4a:IN MGE:None:None,GM11149,0.0057
bc4a:IN MGE:None:None,EFCAB6,0.005
bc4a:IN MGE:None:None,MKX,0.005
bc4a:Apical progenitors:None:None,TTR,0.7001
bc4a:Apical progenitors:None:None,PTPRT,0.2841
bc4a:Apical progenitors:None:None,PDE3A,0.0074
bc4a:Apical progenitors:None:None,SOX1OT,0.0016
bc4a:Apical progenitors:None:None,CRABP1,0.0009
bc4a:Apical progenitors:None:None,RSPH1,0.0009
bc4a:Apical progenitors:None:None,CFAP54,0.0008
bc4a:Apical progenitors:None:None,CADPS2,0.0008
bc4a:Apical progenitors:None:None,FIGN,0.0007
bc4a:Apical progenitors:None:None,TAFA1,0.0007
bc4a:Apical progenitors:None:None,SPOCK3,0.0007
bc4a:Apical progenitors:None:None,2010001K21RIK,0.0007
bc4a:Apical progenitors:None:None,ST6GALNAC5,0.0006
bc4a:IPC:None:None,GRIA1,0.6622
bc4a:IPC:None:None,GM4876,0.1943
bc4a:IPC:None:None,CACNB2,0.1018
bc4a:IPC:None:None,ADGRV1,0.0134
bc4a:IPC:None:None,NDN,0.0097
bc4a:IPC:None:None,OXR1,0.0038
bc4a:IPC:None:None,NEGR1,0.0032
bc4a:IPC:None:None,CCSER1,0.0021
bc4a:IPC:None:None,IL1RAPL1,0.0019
bc4a:IPC:None:None,FILIP1L,0.0019
bc4a:IPC:None:None,ETV1,0.0017
bc4a:IPC:None:None,SMOC1,0.0017
bc4a:IPC:None:None,PBX3,0.0015
bc4a:IPC:None:None,PRKD1,0.0008
bc4a:Migrating neurons:None:None,CDK14,0.2577
bc4a:Migrating neurons:None:None,PCP4,0.2051
bc4a:Migrating neurons:None:None,PLXNA4,0.1391
bc4a:Migrating neurons:None:None,NRG3,0.0671
bc4a:Migrating neurons:None:None,MEIS2,0.0591
bc4a:Migrating neurons:None:None,SHISA9,0.0568
bc4a:Migrating neurons:None:None,KITL,0.0292
bc4a:Migrating neurons:None:None,CYP26B1,0.0194
bc4a:Migrating neurons:None:None,LRFN5,0.0186
bc4a:Migrating neurons:None:None,ROBO2,0.0179
bc4a:Migrating neurons:None:None,RYR3,0.0134
bc4a:Migrating neurons:None:None,GM38604,0.0133
bc4a:Migrating neurons:None:None,PANTR1,0.0131
bc4a:Migrating neurons:None:None,CADM2,0.0127
bc4a:Migrating neurons:None:None,KCNQ5,0.0113
bc4a:Migrating neurons:None:None,FAM155A,0.0109
bc4a:Migrating neurons:None:None,9630028H03RIK,0.0098
bc4a:Migrating neurons:None:None,RBFOX1,0.0096
bc4a:Migrating neurons:None:None,UNC5D,0.0094
bc4a:Migrating neurons:None:None,E130114P18RIK,0.0085
bc4a:Migrating neurons:None:None,FST,0.0064
bc4a:Migrating neurons:None:None,GLRA2,0.0047
bc4a:Migrating neurons:None:None,LRRIQ1,0.0042
bc4a:Migrating neurons:None:None,LPL,0.0027
bc4b:None:None:None,PRICKLE2,0.6309
bc4b:None:None:None,TTR,0.2471
bc4b:None:None:None,OXR1,0.0646
bc4b:None:None:None,GRM8,0.0573
bc4b:DLPN:None:None,PRICKLE2,0.1954
bc4b:DLPN:None:None,FBN2,0.1796
bc4b:DLPN:None:None,H2AFX,0.176
bc4b:DLPN:None:None,SAMD12,0.0993
bc4b:DLPN:None:None,OXR1,0.0863
bc4b:DLPN:None:None,TTR,0.0524
bc4b:DLPN:None:None,BRINP2,0.0483
bc4b:DLPN:None:None,PCDH19,0.0445
bc4b:DLPN:None:None,SLC44A5,0.0304
bc4b:DLPN:None:None,TRPM3,0.0225
bc4b:DLPN:None:None,QK,0.0158
bc4b:DLPN:None:None,FHIT,0.0095
bc4b:DLPN:None:None,GRM8,0.0091
bc4b:DLPN:None:None,NRN1,0.0084
bc4b:DLPN:None:None,EFNA5,0.0078
bc4b:DLPN:None:None,GUCY1A1,0.0078
bc4b:DLPN:None:None,WDR17,0.0069
bc4b:ULPN:None:None,NRG3,0.6154
bc4b:ULPN:None:None,DMD,0.1268
bc4b:ULPN:None:None,RSPO3,0.1049
bc4b:ULPN:None:None,LRFN5,0.0733
bc4b:ULPN:None:None,MDGA2,0.036
bc4b:ULPN:None:None,GM10827,0.0163
bc4b:ULPN:None:None,TTR,0.0093
bc4b:ULPN:None:None,FBN2,0.0073
bc4b:ULPN:None:None,SLC6A9,0.0033
bc4b:ULPN:None:None,CNTNAP3,0.0019
bc4b:ULPN:None:None,STK33,0.0019
bc4b:ULPN:None:None,2010001K21RIK,0.0019
bc4b:ULPN:None:None,HPSE2,0.0018
bc4b:IN MGE:None:None,SPOCK3,0.4479
bc4b:IN MGE:None:None,PRICKLE2,0.3148
bc4b:IN MGE:None:None,CSMD1,0.041
bc4b:IN MGE:None:None,ARL4A,0.0392
bc4b:IN MGE:None:None,SLC2A13,0.0374
bc4b:IN MGE:None:None,PANTR1,0.0132
bc4b:IN MGE:None:None,SEMA6D,0.0132
bc4b:IN MGE:None:None,OXR1,0.013
bc4b:IN MGE:None:None,GM38604,0.0123
bc4b:IN MGE:None:None,TOX3,0.0121
bc4b:IN MGE:None:None,NELL1OS,0.0118
bc4b:IN MGE:None:None,RBFOX1,0.0076
bc4b:IN MGE:None:None,GABRG3,0.0068
bc4b:IN MGE:None:None,FGFBP3,0.0063
bc4b:IN MGE:None:None,KCNH8,0.0061
bc4b:IN MGE:None:None,GM16599,0.0059
bc4b:IN MGE:None:None,SH3GL2,0.0059
bc4b:IN MGE:None:None,DBI,0.0055
bc4b:Migrating neurons:None:None,PRICKLE2,0.2994
bc4b:Migrating neurons:None:None,SHISA9,0.2787
bc4b:Migrating neurons:None:None,FGF12,0.1158
bc4b:Migrating neurons:None:None,RGS6,0.0572
bc4b:Migrating neurons:None:None,KITL,0.0344
bc4b:Migrating neurons:None:None,KCNQ5,0.0323
bc4b:Migrating neurons:None:None,PCSK5,0.0248
bc4b:Migrating neurons:None:None,EGR1,0.0243
bc4b:Migrating neurons:None:None,FAM155A,0.0185
bc4b:Migrating neurons:None:None,RBFOX1,0.0164
bc4b:Migrating neurons:None:None,PRKG1,0.0146
bc4b:Migrating neurons:None:None,TNR,0.0134
bc4b:Migrating neurons:None:None,CDK14,0.0131
bc4b:Migrating neurons:None:None,PLXNA4,0.0111
bc4b:Migrating neurons:None:None,GM973,0.0095
bc4b:Migrating neurons:None:None,PLCXD3,0.0077
bc4b:Migrating neurons:None:None,FSTL5,0.007
bc4b:Migrating neurons:None:None,COL5A2,0.0066
bc4b:Migrating neurons:None:None,RNASE4,0.0052
bc4b:Migrating neurons:None:None,GRM1,0.0051
bc4b:Migrating neurons:None:None,CHCHD10,0.005
bc4c:None:None:None,PRICKLE2,0.6904
bc4c:None:None:None,GM48091,0.1765
bc4c:None:None:None,GRM8,0.0732
bc4c:None:None:None,GM32509,0.0599
bc4c:DLPN:None:None,GRIA4,0.6775
bc4c:DLPN:None:None,SNCA,0.08
bc4c:DLPN:None:None,KCNIP1,0.0654
bc4c:DLPN:None:None,E130114P18RIK,0.0294
bc4c:DLPN:None:None,PDE1A,0.0292
bc4c:DLPN:None:None,BRINP2,0.027
bc4c:DLPN:None:None,PCDH19,0.0247
bc4c:DLPN:None:None,H2AFZ,0.0223
bc4c:DLPN:None:None,FABP7,0.0179
bc4c:DLPN:None:None,SYT4,0.0095
bc4c:DLPN:None:None,CD63,0.0091
bc4c:DLPN:None:None,GRM8,0.0079
bc4c:ULPN:None:None,LRFN5,0.4308
bc4c:ULPN:None:None,CSMD1,0.2348
bc4c:ULPN:None:None,TTR,0.1811
bc4c:ULPN:None:None,ANP32B,0.0729
bc4c:ULPN:None:None,RYR3,0.0252
bc4c:ULPN:None:None,DMD,0.016
bc4c:ULPN:None:None,NRG3,0.0148
bc4c:ULPN:None:None,CALD1,0.0086
bc4c:ULPN:None:None,EFCAB6,0.008
bc4c:ULPN:None:None,MDGA2,0.0077
bc4c:IN MGE:None:None,PRICKLE2,0.332
bc4c:IN MGE:None:None,SEMA6A,0.3076
bc4c:IN MGE:None:None,GRIK3,0.1412
bc4c:IN MGE:None:None,SEMA6D,0.0663
bc4c:IN MGE:None:None,SPOCK3,0.0594
bc4c:IN MGE:None:None,GM45323,0.0405
bc4c:IN MGE:None:None,SLC24A3,0.0163
bc4c:IN MGE:None:None,WLS,0.0133
bc4c:IN MGE:None:None,TTR,0.0069
bc4c:IN MGE:None:None,SVIL,0.0062
bc4c:IN MGE:None:None,SLC4A5,0.0055
bc4c:IN MGE:None:None,HELLS,0.0047
bc4c:Migrating neurons:None:None,GRM5,0.2577
bc4c:Migrating neurons:None:None,RYR3,0.1674
bc4c:Migrating neurons:None:None,CDK14,0.1267
bc4c:Migrating neurons:None:None,PLXNA4,0.0782
bc4c:Migrating neurons:None:None,NECAB1,0.0388
bc4c:Migrating neurons:None:None,GLRA2,0.0384
bc4c:Migrating neurons:None:None,SEMA5A,0.0345
bc4c:Migrating neurons:None:None,NELL1,0.0287
bc4c:Migrating neurons:None:None,SHISA9,0.0274
bc4c:Migrating neurons:None:None,NIN,0.0205
bc4c:Migrating neurons:None:None,EPB41L4A,0.018
bc4c:Migrating neurons:None:None,GRIN2A,0.0176
bc4c:Migrating neurons:None:None,EPHA5,0.0138
bc4c:Migrating neurons:None:None,FAM155A,0.011
bc4c:Migrating neurons:None:None,COL12A1,0.0109
bc4c:Migrating neurons:None:None,UNC5D,0.0105
bc4c:Migrating neurons:None:None,TNR,0.0102
bc4c:Migrating neurons:None:None,PRKG1,0.0099
bc4c:Migrating neurons:None:None,GABRG3,0.0093
bc4c:Migrating neurons:None:None,CD63,0.0086
bc4c:Migrating neurons:None:None,SPOCK3,0.0083
bc4c:Migrating neurons:None:None,MIA,0.0083
bc4c:Migrating neurons:None:None,TOX3,0.008
bc4c:Migrating neurons:None:None,H2AFZ,0.0077
bc4c:Migrating neurons:None:None,ZFP804A,0.007
bc4c:Migrating neurons:None:None,TRPC5,0.0069
bc4c:Migrating neurons:None:None,ZFP536,0.0063
bc4c:Migrating neurons:None:None,GM20275,0.0063
bc4c:Migrating neurons:None:None,NRG3,0.0033
