Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Ex_Cyp26b1_Slc30a3_Ptprc_3,neuron,,VGLUT1,MC_52:Amygdalar neurons,Ex_Cyp26b1_Slc30a3_Ptprc,Ex_Cyp26b1_Slc30a3_Ptprc,Ex_Cyp26b1_Slc30a3_Ptprc
Ex_Lhx9_Mstn_Vxn,neuron,Isocortex,VGLUT1,MC_52:Amygdalar neurons,Ex_Lhx9_Mstn_Vxn,Ex_Lhx9_Mstn_Vxn_Isocortex,Ex_Lhx9_Mstn_Vxn_Isocortex
Ex_Lhx9_Mstn_Pld5,neuron,CTXsp,VGLUT1,MC_52:Amygdalar neurons,Ex_Lhx9_Mstn_Pld5,Ex_Lhx9_Mstn_Pld5_CTXsp,Ex_Lhx9_Mstn_Pld5_CTXsp
Ex_Fezf2_Hc,neuron,,VGLUT1,MC_52:Amygdalar neurons,Ex_Fezf2_Hc,Ex_Fezf2_Hc,Ex_Fezf2_Hc
Ex_Abi3bp_Calcrl,neuron,OLF,VGLUT1_VGLUT2,MC_55:Olfactory area excitatory neurons,Ex_Abi3bp_Calcrl,Ex_Abi3bp_Calcrl_OLF,Ex_Abi3bp_Calcrl_OLF
Ex_Abi3bp_Hcrtr2,neuron,OLF,VGLUT1_VGLUT2,MC_55:Olfactory area excitatory neurons,Ex_Abi3bp_Hcrtr2,Ex_Abi3bp_Hcrtr2_OLF,Ex_Abi3bp_Hcrtr2_OLF
Ex_Slc30a3_Shisa8_1,neuron,Isocortex,VGLUT1_VGLUT2,MC_44:Cortical and piriform upper layer neurons,Ex_Slc30a3_Shisa8,Ex_Slc30a3_Shisa8_Isocortex,Ex_Slc30a3_Shisa8_Isocortex
Ex_Slc30a3_Shisa8_2,neuron,Isocortex,VGLUT1_VGLUT2,MC_44:Cortical and piriform upper layer neurons,Ex_Slc30a3_Shisa8,Ex_Slc30a3_Shisa8_Isocortex,Ex_Slc30a3_Shisa8_Isocortex
Ex_Slc30a3_Shisa8_3,neuron,Isocortex,VGLUT1_VGLUT2,MC_44:Cortical and piriform upper layer neurons,Ex_Slc30a3_Shisa8,Ex_Slc30a3_Shisa8_Isocortex,Ex_Slc30a3_Shisa8_Isocortex
Ex_Slc30a3_Shisa8_4,neuron,Isocortex,VGLUT1_VGLUT2,MC_44:Cortical and piriform upper layer neurons,Ex_Slc30a3_Shisa8,Ex_Slc30a3_Shisa8_Isocortex,Ex_Slc30a3_Shisa8_Isocortex
Ex_Slc30a3_Shisa8_5,neuron,Isocortex,VGLUT1_VGLUT2,MC_44:Cortical and piriform upper layer neurons,Ex_Slc30a3_Shisa8,Ex_Slc30a3_Shisa8_Isocortex,Ex_Slc30a3_Shisa8_Isocortex
Ex_Slc30a3_Shisa8_6,neuron,Isocortex,VGLUT1_VGLUT2,MC_44:Cortical and piriform upper layer neurons,Ex_Slc30a3_Shisa8,Ex_Slc30a3_Shisa8_Isocortex,Ex_Slc30a3_Shisa8_Isocortex
Ex_Slc30a3_Shisa8_7,neuron,Isocortex,VGLUT1_VGLUT2,MC_44:Cortical and piriform upper layer neurons,Ex_Slc30a3_Shisa8,Ex_Slc30a3_Shisa8_Isocortex,Ex_Slc30a3_Shisa8_Isocortex
