Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Inh_Frm7_Epcam_1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Frm7_Epcam,Inh_Frm7_Epcam_OLF,Inh_Frm7_Epcam_OLF
Inh_Frm7_Epcam_2,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Frm7_Epcam,Inh_Frm7_Epcam_OLF,Inh_Frm7_Epcam_OLF
Inh_Frm7_Atp1b4,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Frm7_Atp1b4,Inh_Frm7_Atp1b4_OLF,Inh_Frm7_Atp1b4_OLF
Inh_Frm7_Kcns3,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Frm7_Kcns3,Inh_Frm7_Kcns3_OLF,Inh_Frm7_Kcns3_OLF
Inh_Frm7_4930523C07Rik,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Frm7_4930523C07Rik,Inh_Frm7_4930523C07Rik_OLF,Inh_Frm7_4930523C07Rik_OLF
Inh_Lmo2_Chrna2_1,neuron,,GABA,MC_57:Inhibitory olfactory neurons,Inh_Lmo2_Chrna2,Inh_Lmo2_Chrna2,Inh_Lmo2_Chrna2
Inh_Lmo2_Chrna2_2,neuron,,GABA,MC_57:Inhibitory olfactory neurons,Inh_Lmo2_Chrna2,Inh_Lmo2_Chrna2,Inh_Lmo2_Chrna2
Inh_Lmo2_Dsg3,neuron,,GABA,MC_57:Inhibitory olfactory neurons,Inh_Lmo2_Dsg3,Inh_Lmo2_Dsg3,Inh_Lmo2_Dsg3
Inh_Lmo2_Dsg2_1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Lmo2_Dsg2,Inh_Lmo2_Dsg2_OLF,Inh_Lmo2_Dsg2_OLF
Inh_Lmo2_Dsg2_2,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Lmo2_Dsg2,Inh_Lmo2_Dsg2_OLF,Inh_Lmo2_Dsg2_OLF
Inh_Vcan_St8sia2_1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_St8sia2,Inh_Vcan_St8sia2_OLF,Inh_Vcan_St8sia2_OLF
